Date : 2024-12-13 22:24:45
Directory : c:\xampp\htdocs\ventas-proyecto-rick
Total : 784 files,  148401 codes, 17219 comments, 23016 blanks, all 188636 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\apps\notes.css                                                | CSS        |        369 |         39 |         25 |        433 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\apps\scrumboard.css                                           | CSS        |        439 |         25 |         23 |        487 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\apps\todolist.css                                             | CSS        |        446 |         27 |         31 |        504 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\authentication\form-1.css                                     | CSS        |        189 |         10 |          8 |        207 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\authentication\form-2.css                                     | CSS        |        212 |         10 |         10 |        232 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\color-pallet.css                                              | CSS        |         54 |         10 |          2 |         66 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\cards\card.css                                     | CSS        |        363 |         67 |         11 |        441 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\custom-carousel.css                                | CSS        |        124 |         17 |         12 |        153 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\custom-countdown.css                               | CSS        |         53 |         16 |          2 |         71 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\custom-counter.css                                 | CSS        |         59 |         16 |          2 |         77 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\custom-list-group.css                              | CSS        |        168 |         30 |         18 |        216 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\custom-media_object.css                            | CSS        |        119 |         19 |         21 |        159 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\custom-modal.css                                   | CSS        |        188 |         31 |         20 |        239 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\custom-sweetalert.css                              | CSS        |          4 |         10 |          2 |         16 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\tabs-accordian\custom-accordions.css               | CSS        |         82 |         19 |          8 |        109 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\tabs-accordian\custom-tabs.css                     | CSS        |        335 |         76 |         75 |        486 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\components\timeline\custom-timeline.css                       | CSS        |        480 |         25 |         10 |        515 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\dashboard\dash_1-minimal.css                                  | CSS        |        710 |         60 |         27 |        797 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\dashboard\dash_1.css                                          | CSS        |        694 |         60 |         26 |        780 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\dashboard\dash_2-minimal.css                                  | CSS        |        923 |         85 |         34 |      1,042 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\dashboard\dash_2.css                                          | CSS        |        911 |         85 |         34 |      1,030 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\alert.css                                            | CSS        |        181 |         19 |         30 |        230 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\avatar.css                                           | CSS        |         65 |         13 |         17 |         95 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\breadcrumb.css                                       | CSS        |        203 |         27 |         13 |        243 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\assets\css\elements\color_library.css                                    | CSS        |         44 |          1 |          0 |         45 |
